traget_word	sentence_a	span_a_strat	sentence_b	span_b_strat	True_label	pre_label	predict_probs
没有	“这里没有冬天,中央大街浪漫永存!	3	它仿佛向人们诉说:为建设有中国特色社会主义而献身的英模,北京没有忘记,人民没有忘记。	30	0	1	[1.8771298562581706e-18, 1.0]
起来	”社会主义从制度上保证全体人民根本利益的一致,使他们的劳动积极性和才能得以充分发挥,发展了生产力;而在生产力发展的基础上,人民群众日益增长的物质文化需要不断得到满足,生活逐步富裕起来,使人民群众的生产积极性得以长期保持下去,推动社会主义社会的生产力比资本主义发展得更快一些、更高一些。	89	就这样,朋友问起来,还不好意思明着说自己下岗了。	7	0	0	[0.8969224691390991, 0.10307756066322327]
运动	我们是从为振兴中华而奋斗的历史接力运动的意义上来讲这种继承的,是从完成孙中山没有完成的民主革命并把它发展成为社会主义革命和社会主义现代化建设的意义上来讲这种继承的。	17	他认为,世界排名并不能说明一切,中国选手的排名较靠前,只能说明他们的训练收到了预期的效果,运动水平、技术有了提高。	45	1	1	[4.3478877402714e-19, 1.0]
运动	他们跑来和我谈计算几何方面的问题,如把图像运动表示出来等。	21	因此,象棋在我国被称之为群众基础最广泛的“第一普及智力运动”。	27	0	0	[1.0, 5.1371601702147794e-42]
起来	然而,与此伴随的,是“村村点火,户户冒烟”的掠夺性开采造成的资源浪费和环境污染,以及迅速富裕起来的农民的畸形消费,对此,省城一家报纸发表了一篇尖锐的文章,题为《垃圾堆上的富翁》。	46	邓小平同志说:“如果走资本主义道路,可以使中国百分之几的人富裕起来,但是绝对解决不了百分之九十几的人生活富裕的问题”,“只有社会主义制度才能从根本上解决摆脱贫穷的问题”。	31	1	1	[1.468093557832617e-07, 0.9999998807907104]
地方	再有,对地方保护主义也不容忽视,由于它的抬头,助长了走私分子的气焰,影响了打击走私的力度。	4	访问挪威期间,见过许多驰名的建筑,但我们认为,最有挪威民族特色、最能体现挪威人崇尚大自然性情的建筑,莫过于这汪洋中的小木屋,这遍布挪威许多地方的小木屋。	69	0	0	[1.0, 7.660919898455631e-09]
走	继续正确理解、认真贯彻稳中求进的方针,对于巩固和发展当前好的经济形势,把“高增长、低通胀”的良好发展态势保持下去,使经济彻底摆脱大起大落和通货膨胀的困扰,走上持续快速健康发展轨道,具有重要意义。	77	对此,赵将军特别感到欣慰,他说:“我的希望工程事业不仅走进了企业,还走出了国门。	27	1	0	[1.0, 2.236578175122434e-37]
突出	据悉,北京市今年灾情较重,特别是旱情突出,严重影响了农民的生活。	18	北京龙潭庙会韵味浓本报讯北京第十五届龙潭庙会将突出文化品位,其中来自青海、吉林、山东、广西等十几个省、区的民间艺术团精选出上百档花会代表队来京献艺。	23	0	0	[0.9996106028556824, 0.00038948023575358093]
分子	在植物基因工程和基因分子调控研究等方面,陈章良教授的工作取得了卓越成就。	10	据统计,去年该支队共破获走私、偷渡案件180多宗,抓获偷渡分子400多人,缴获走私物品总价值8000多万元人民币。	29	0	1	[4.480546015345658e-29, 1.0]
运动	辩证唯物主义和历史唯物主义的观点认为,客观事物是不断运动发展变化的,人们必须在运动发展变化中认识和把握事物,从而不断检验、更新和扬弃自己的思想观点。	26	因此,象棋在我国被称之为群众基础最广泛的“第一普及智力运动”。	27	0	1	[1.3403928633692885e-08, 1.0]
分子	对此,邓小平同志坚持历史唯物主义的科学态度,认真总结中国前30年社会主义实践的深刻教训,在强调通过政治思想教育“使群众形成一个自为的阶级力量”的同时,告诫全党:“不重视物质利益,对少数先进分子可以,对广大群众不行,一段时间可以,长期不行。	94	事发后,以色列曾拒绝瑞士方面的指控,声称伯尔尼的间谍案系黎巴嫩真主党分子所为,但以色列情报机构摩萨德的负责人丹尼·亚托姆事后已引咎辞职。	34	1	1	[0.15476976335048676, 0.845230221748352]
包	她进货也从不雇人背包,总是自己把沉甸甸的大包从市场背上火车,下了火车,再背回家里。	9	“老西藏”们回忆起当年乘飞机进藏时大包小包携带蔬菜的情景,不由得感慨万千。	18	1	0	[1.0, 1.325588261380517e-08]
少	张文学是牧奎村有名的贫困户,他因妻子长期病卧在床,欠了一屁股的债,家里缺吃少穿的,生活紧紧巴巴。	37	这又使我想到现在看一些画家的作品为何少了这样一份感动。	18	1	0	[1.0, 9.178238355194449e-22]
研究	一次,省里一家重要部门来本钢研究工作,有关部门按老规矩在市里一家高档饭店安排了宴会。	14	四、美国科学家绘制出X染色体的高精度图谱并制造出人造染色体,这些发明为基因专家们在X染色体上寻找致病基因和基因疗法的研究创造了便利条件。	58	0	1	[4.266706787389374e-18, 1.0]
突出	涉及人身健康安全的产品质量问题严重,其中高频手术器、食品添加剂、电热水器、信息技术设备用插头电源线等5类产品问题尤为突出,列本季度合格率最后5位。	58	据新华社北京1月9日电解放军总参谋部、总政治部日前发出通报,对带兵爱兵表现突出、成绩显著的102名优秀基层干部和155名优秀班长予以表彰,并为他们颁发荣誉证书。	37	0	0	[1.0, 0.0]
突出	深化农村改革,总的要求是,按照“三个有利于”的原则,既要解放思想,更新观念,加大改革力度,解决影响生产力发展的突出问题,又要从实际出发,注重实效,防止“一哄而起”,“一刀切”,造成不良后果。	55	狠抓落实,就是实事求是,脚踏实地,扎实工作,集中精力抓大事,注意解决工作中的难点和群众关心的热点问题,特别要着力解决涉及全局的突出问题,防止和克服主观主义、官僚主义和形式主义,把统揽全局的精心部署和各项任务真正落到实处。	63	1	1	[0.0015904298052191734, 0.9984095692634583]
运动	他准备利用磁化技术,在磁力线交互切割运动中,使油分子活化,进入燃烧室后,易与氧分子结合、易于雾化,附壁后也易于蒸发,可以提高燃烧效率。	18	在群众生活最困难的时候,区党委、行署和太岳纵队发起了节约运动,如沁源县的机关干部一月节食一日,有的部队主动把口粮每人每日减少二两,节约下来的粮食救济困难群众。	28	0	0	[0.9992502331733704, 0.0007497696788050234]
包	张德邻来自北方,饺子包得很熟练。	10	”绍兴人过年及腊月祭灶都包粽子,取吉利,叶“高中”之音。	12	1	0	[1.0, 4.399784714337329e-08]
运动	健力宝开创了我国运动饮料从无到有、并与国际名牌一争高低的局面,健力宝人创造了一个奇迹。	8	围棋是高智力运动,可以训练人的综合素质。	6	1	0	[1.0, 4.7053944740582665e-08]
老	李瑞环说,中老两国山水相连、道路相通、习俗相近,两国人民有着悠久的传统友谊。	6	据调查,纽约地铁火车车速缓慢的主要原因是管理当局最近几十年来没有很好利用地铁新技术,有些线路虽然更新了车辆,但沿线的指示系统和控制系统都是几十年前的老设备,根本无法适应快速运行的需要。	74	0	1	[5.93479501653782e-11, 1.0]
少	过去逢年过节,总是“车水马龙”到机关“慰问”,现在少多了。	25	故而少未省事之时,便为趣驱使,长年生活于云南深山密林之中,一则当时环境动乱所迫,一则实为『观生虎其神』,虽苦犹幸,得益匪浅。	2	0	1	[1.8429082045134937e-12, 1.0]
材料	据湖南省减轻农民负担办公室近日提供的材料,去年,湖南省减轻农民负担12亿元,农民人均减少24元。	18	但这个『耳听』,一不能『偏听偏信』,二不能听『小道消息』之类的风言风语,三不能听信采访对象提供的一兜一袋现成材料。	54	1	1	[2.087357890701025e-11, 1.0]
坐	如果带着孩子,可以上到三层去“骑马”、“坐飞机”,开心地玩一番。	20	当我凑够钱交给司机时,司机从车窗里撂出一句话:“难怪抠抠搜搜的,没有钱今后不要坐车!	39	1	1	[4.496750534599414e-06, 0.9999954700469971]
包	这些基建项目,有的不公开招标投标或向没有资质等级的个体施工队转发包;有的不进行开工前审计,不办理工程规划许可证,还有的交付时不验收。	32	从1984年开始,汕头市即采取政府统建补贴出售住房的办法,改革了群众住房完全由政府统包统建的旧制度。	42	0	0	[0.7164645791053772, 0.2835354804992676]
路	我去的那天正好下雨,黄泥巴路粘得没法走。	13	仅距我们四五车之遥,一辆轿车撞坏护栏后翻在路中,周围汽油味扑鼻。	21	1	1	[0.0012246361002326012, 0.9987753033638]
活动	中心成立当天就组成以下岗女工为主的1000人流动卖报队伍,活动在沈阳市各个角落。	29	此间分析家说,伊朗驻联合国代表通常只能在纽约市内活动,这次被允许到纽约以外的地方是十分罕见的事。	24	1	1	[0.2359471172094345, 0.7640528678894043]
走	继续正确理解、认真贯彻稳中求进的方针,对于巩固和发展当前好的经济形势,把“高增长、低通胀”的良好发展态势保持下去,使经济彻底摆脱大起大落和通货膨胀的困扰,走上持续快速健康发展轨道,具有重要意义。	77	不久前访问日本时,我一再强调,日本走什么道路不仅是日本一国的事情,它也是关乎中日关系的大事,是关乎地区和世界稳定的大事。	17	0	0	[1.0, 6.1929592417552476e-24]
少	少讲套话	0	要多学习少应酬,多奉献少计较,多实干少空谈,以对党和人民事业极端认真、极端负责的态度做好本职工作。	4	1	1	[2.164603894233335e-27, 1.0]
分子	获奖的科学家是:数学家杨乐、有机化学家黄维垣、分子遗传学家沈善炯、植物生理学家娄成后、血液病学专家陆道培、摄影测量与遥感学家王之卓、电子学家李志坚和工程力学家钱令希。	23	按照恩格斯的说明,是因为那时“信奉各种空想学说的分子”和“各种各样的社会庸医们”都称为“社会主义者”。	24	0	0	[1.0, 3.127369925149913e-18]
地方	目前,不少企业集团、政府部门和地方政府认为第一种发展太慢,有的企业集团领导明确提出:照目前的发展速度,本集团三五年乃至十几年都不大可能进入世界500强企业之列,只有把一些重要企业纳入到集团内部,才能很快进入世界级大企业行列,因而强调第二种发展思路。	15	出于同样的考虑,证券交易印花税税率从3‰调高至5‰,分享比例由中央和地方各占50%,改为中央占80%,地方占20%。	34	1	1	[3.7374345993157476e-05, 0.999962568283081]
少	此前,出版界很少有一套系统的丛书,能为我们提供弥补这种缺憾可能。	7	而恰恰值得忧虑的是,在已经没有战火硝烟,处处歌舞升平的今天,一些人已渐渐淡忘了过去血与火的斗争岁月;“生活在蜜罐里”的青少年,更是对百年来我们民族的深重苦难和中国革命战争的艰难历程所知甚少。	60	1	0	[1.0, 9.557706855357975e-21]
包	第二天上午8时左右,平某将手术器械包提上手术台,而后对康实施麻醉术。	17	记者注意到,半个小时左右时间,就有10来个人到朱师傅这里钉鞋、钉包。	32	1	1	[8.272400009445846e-06, 0.999991774559021]
路	市经委将机关干部兵分15路,到企业了解节后生产恢复情况,与企业一道研究措施,确保2月份生产任务的完成。	12	上学路远,历来是山区教育发展的难题,即使村里办小学,有的学生还要跑一二公里路。	2	0	1	[1.945905523825786e-06, 0.9999980926513672]
没有	总部的管理人员可能没有时间熟悉产品专门知识,无法运用既有知识恰当评价经营单位经理的建议与业绩。	9	山东队是本赛季唯一没有人员变化的球队,却取得积分榜第二的位置。	9	1	1	[3.533995477297481e-21, 1.0]
没有	我在一家不算大的机关供职,也挂了个“长”字,如果按官职序列排位,没有再比我还小的官了。	32	乘务员上前询问,这位旅客一语惊人:“箱内除了炸弹外,没有其他东西。	26	0	0	[1.0, 1.6120874361184969e-18]
路	少说也得一米八三的个头,典型的山东大汉,留着很整齐很精神的小平头,走起路来脚底板子生风。	35	直升机刚走,车龙后方警笛骤响,只见停在路中的三条车龙纷纷原地向两侧避让,许多车不惜冲上隔离带的路沿,顷刻间居然闪出一条数米宽的大道。	19	1	0	[0.9999998807907104, 7.402651647225866e-08]
少	张文学是牧奎村有名的贫困户,他因妻子长期病卧在床,欠了一屁股的债,家里缺吃少穿的,生活紧紧巴巴。	37	故而少未省事之时,便为趣驱使,长年生活于云南深山密林之中,一则当时环境动乱所迫,一则实为『观生虎其神』,虽苦犹幸,得益匪浅。	2	0	1	[1.5186894870566903e-06, 0.9999984502792358]
运动	泰国这所历史最悠久的大学最近发起一场反对女生在校园内穿超短裙的运动,此举在该校内引起争议。	31	国家体委篮球运动管理中心主任、中国篮球协会常务副主席信兰成当选第一副主席。	6	0	1	[4.421464723236568e-07, 0.9999995231628418]
突出	在本溪,人寿保险公司不仅以其美好的工作,为山城人们所称道,同时,因为他们在社会公益事业上的突出贡献,又被山城人民称为“慈善天使”。	45	北京龙潭庙会韵味浓本报讯北京第十五届龙潭庙会将突出文化品位,其中来自青海、吉林、山东、广西等十几个省、区的民间艺术团精选出上百档花会代表队来京献艺。	23	0	1	[0.02890661172568798, 0.9710934162139893]
把握	紧缩性的宏观调控政策固然发挥了抑制通货膨胀、消除巨额财政赤字、走向预算平衡等积极作用,但如果在度的把握上不妥,就有可能走向反面。	49	在研究青年生活质量问题时,把物质生活与精神生活联系在一起,如此等等,体现出作者对青年问题的现实状态的准确把握。	52	1	1	[4.995185065581609e-08, 1.0]
材料	据湖南省减轻农民负担办公室近日提供的材料,去年,湖南省减轻农民负担12亿元,农民人均减少24元。	18	为了使越南人民了解中国,胡志明付出巨大心血,广泛搜集材料。	26	1	1	[0.0012120732571929693, 0.9987879395484924]
钱	他家中有妻子和两个孩子,打算干几年挣点钱就回国去。	19	然而,菜市场内为几分钱争执,拨打“110”;儿子不送父亲去医院看病,拨打“110”;“买米换气拿钥匙,送人送饭接孩子”,拨打“110”;更有甚者,以恶作剧而扰警之事时有发生。	10	0	1	[3.759528439427998e-18, 1.0]
冲击	在漫长岁月中,海浪连续冲击岩石,逐渐形成岩洞,内侧被打通。	11	当围堰受到巨大压力或不均衡的冲击时,防渗墙能顺应墙体的变化而不致断裂。	14	1	0	[0.9943158030509949, 0.00568420859053731]
日子	只有小学文化的安妈妈,把每封信收到的日子和复信日期做了记录,白天忙农活,晚上写回信,早上让丈夫骑自行车送往十里外的邮局。	18	他下令将他庞大的军力进行备案,于是上千人花了上千个日子将一兵一卒,一车一马,一矛一戈,甚至士兵腰间的一个佩环都登记入册,每个士兵的胡子、眼睛、着装、军衔、年龄;每匹战马的形态、颜色包括一条尾巴都细致入微地描绘出来,凡军队所需的一切无一遗漏地注册收入一部“巨著”。	25	1	1	[1.7276446710897314e-18, 1.0]
坐	元月6日下午,记者约请合肥晚报总编仇旭东,一起坐车从长江路东头的九狮苑到大西门,沿途徐行,细细查看,只见3300盏大红灯笼无一损失,一个个迎风舞动,分外鲜艳,与道路两侧各式各样的灯饰广告交相辉映,令人留连忘返。	23	回国后,也是坐汽车踩了别人一下,他连忙道歉,那位则根本没听见一般,扔出一句『瞎了眼了!	6	1	1	[1.609023847493063e-08, 1.0]
穿	有一阵儿,姐俩冬天才有一身略整齐的棉衣裤,只好倒着穿。	25	战后两德分治,柏林一分为二,柏林墙穿此而过,除一片葡萄酒馆外,这里几乎只见荒烟蔓草。	17	0	1	[1.1888153494510334e-05, 0.9999880790710449]
起来	在从冰上站起来时,陈露心里想道:“不管我能不能拿到奖牌,但我一定要自豪地对人们说,对我来说最重要的是滑得更好,是用自己的行动向所有人证明,我终于回来了。	5	过了一会儿,车长和一批列车员来到我们面前,吴天祥站起来迎了上去,车长激动地说:『论资格,论年纪,论贡献,您都该坐卧铺,我们怎么好为您换成硬座呢!	25	1	0	[0.9996964931488037, 0.00030355830676853657]
穿	在1940年深秋的一次狙击战,当时已是连长的他,率部狙击敌人,掩护部队转移,战斗打得十分惨烈,尸体成堆,血流成渠,他们打退了敌人的七次进攻,完成了任务,就在他准备撤退时,一颗子弹击中了他的下巴,从右腮部穿出,他就什么也不知道了。	101	移山劈路凭劳力,凿洞穿岩夺天工。	10	1	1	[4.1799095924943686e-05, 0.9999581575393677]
起来	忽然眼前有人推过一把轮椅,上面坐着一位身躯有些弯曲的老人,他颤抖地站起来,摆手让推轮椅的人和轮椅离去。	34	当时斯大林正为中国代表团举行酒会,周恩来站起来提议:“为阿尔希波夫同志干杯!	21	1	0	[1.0, 1.729072241559316e-14]
运动	因此,象棋在我国被称之为群众基础最广泛的“第一普及智力运动”。	27	他们认为,银河系只能是这种规模,恒星的很多运动情况才能得到解释,原先对银河系规模的估计可能偏大。	21	0	1	[0.00024825637228786945, 0.9997517466545105]
没有	乘务员上前询问,这位旅客一语惊人:“箱内除了炸弹外,没有其他东西。	26	山东队是本赛季唯一没有人员变化的球队,却取得积分榜第二的位置。	9	1	1	[5.996345455762386e-13, 1.0]
钱	最令我感动的,是我在四川遇到的一位下岗工人,他听完“幸福工程”的介绍,当即摸遍了身上的所有口袋,将仅有的8元钱捐了出来,那情景我总也忘不了。	54	这些作品是吕厚民、侯波、吕相友、钱嗣杰、张彬、徐肖冰、成元功等7位曾在周恩来身边工作过的老摄影家拍摄的,是从他们拍摄的作品中精心挑选出来的。	16	0	0	[0.9839283227920532, 0.01607167162001133]
路	领导想安排另一名同志去当站长,面对水、电、路“三不通”的加油站,宁洪虎自告奋勇:“我退伍后还没给公司作多少贡献。	21	上学路远,历来是山区教育发展的难题,即使村里办小学,有的学生还要跑一二公里路。	2	0	0	[1.0, 2.158825479492421e-10]
